Unnamed: 0,consult,output
0,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Marine_Corps_Air_Station_Kaneohe_Bay> <http://dbpedia.org/property/architect>?uri.?uri <http://dbpedia.org/ontology/tenant>?uri2. <http://dbpedia.org/resource/New_Sanno_Hotel>?uri2 } 
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 4: syntax error at \'}\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\n SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Marine_Corps_Air_Station_Kaneohe_Bay> <http://dbpedia.org/property/architect>?uri.?uri <http://dbpedia.org/ontology/tenant>?uri2. <http://dbpedia.org/resource/New_Sanno_Hotel>?uri2 } \\n""']"
1,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/party> <http://dbpedia.org/resource/International_Muslim_Brotherhood>.?x <http://dbpedia.org/property/sect>?uri .?x <http://www.w3.org/1999/02-rdf-syntax-ns#type> <http://dbpedia.org/ontology/PoliticalParty>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
2,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/developer> ""Google"".?uri <http://dbpedia.org/ontology/author> ""Google"" }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
3,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Sam_Loyd> <http://dbpedia.org/ontology/knownFor>?uri. <http://dbpediachiller/ontology/knownFor>?uri} 
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 4: syntax error at \'}\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\n SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Sam_Loyd> <http://dbpedia.org/ontology/knownFor>?uri. <http://dbpediachiller/ontology/knownFor>?uri} \\n""']"
4,"
ASK WHERE { <http://dbpedia.org/resource/Peter_Piper_Pizza> <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Pizza> }
","{'head': {'link': []}, 'boolean': True}"
5,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Dream_Dancing> <http://dbpedia.org/property/artist>?uri. <http://dbpedia.org/resource/Joe_Pass> <http://dbpedia.org/ontology/associatedMusicalArtist>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
6,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/deputy> <http://dbpedia.org/resource/Neil_Brown_(Australian_politician)>.?uri <http://dbpedia.org/property/deputy> <http://dbpedia.org/resource/Andrew_Peacock>.?uri <http://www.w3.org/1999/0222-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
7,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Focke-Wulf_260> <http://dbpedia.org/property/nationalOrigin>?uri. <http://dbpedia.org/resource/Start_+_Flug_H-101> <http://dbpedia.org/property/nationalOrigin>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
8,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/producer> <http://dbpedia.org/resource/Stephen_E._Ambrose>.?uri <http://dbpedia.org/property/writer> <http://dbpedia.org/resource/Erik_Jendresen> .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Band_of_Brothers_(miniseries)'}}]}}"
9,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/created>?created.?created <http://dbpedia.org/resource/Women_in_the_Garden>, <http://dbpedia.org/resource/L'Enfant_à_la_Tasse>. }
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 4: syntax error at \',\' before \'<http://dbpedia.org/resource/L\'Enfant_\\xc3\\xa0_la_Tasse>\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nSELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/created>?created.?created <http://dbpedia.org/resource/Women_in_the_Garden>, <http://dbpedia.org/resource/L\'Enfant_\\xc3\\xa0_la_Tasse>. }\\n""']"
