Unnamed: 0,consult,output
0,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT?architect
WHERE {
 ?architect dbo:architect dbr:Marine_Corps_Air_Station_Kaneohe_Bay.
 ?hotel dbo:tenant?architect.
 ?hotel rdfs:label ""New Sanno Hotel""@en.
}
","{'head': {'link': [], 'vars': ['architect']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
1,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>
PREFIX dct: <http://purl.org/dc/terms/>

SELECT DISTINCT?sect
WHERE {
 ?party a dbo:PoliticalParty ;
         dbo:partyType dbr:International_Muslim_Brotherhood ;
         dbo:member?person.
 ?person dbo:religion?sect.
}
","{'head': {'link': [], 'vars': ['sect']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
2,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?system
WHERE {
 ?system dbo:developer dbr:Google_Videos.
 ?system dbo:author dbr:Google_Web_Toolkit.
}
","{'head': {'link': [], 'vars': ['system']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
3,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?game
WHERE {
 ?game dbo:knownFor dbr:Sam_Loyd.
 ?game dbo:knownFor dbr:Eric_Schiller.
}
","{'head': {'link': [], 'vars': ['game']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
4,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

ASK {
  dbr:Peter_Piper_Pizza dbo:industry dbo:Pizza.
}
","{'head': {'link': []}, 'boolean': False}"
5,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?artist
WHERE {
 ?musicalWork dbo:associatedMusicalArtist?artist.
 ?musicalWork dbr:Dream_Dancing.
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 10: syntax error at \'.\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nSELECT DISTINCT?artist\\nWHERE {\\n ?musicalWork dbo:associatedMusicalArtist?artist.\\n ?musicalWork dbr:Dream_Dancing.\\n}\\n""']"
6,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?officeHolder
WHERE {
 ?officeHolder dbo:deputy dbr:Neil_Brown.
 ?officeHolder dbo:deputy dbr:Andrew_Peacock.
}
","{'head': {'link': [], 'vars': ['officeHolder']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
7,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?uri
WHERE {
 ?aircraft dbo:manufacturer dbr:Focke_Wulf_260.
 ?aircraft dbo:manufacturer dbr:Start_+_Flug_H-101.
 ?aircraft dbo:nationalOrigin?uri.
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 10: syntax error at \'+\' before \'_Flug_H\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nPREFIX dbo: <http://dbpedia.org/ontology/>\\nPREFIX dbr: <http://dbpedia.org/resource/>\\n\\nSELECT DISTINCT?uri\\nWHERE {\\n ?aircraft dbo:manufacturer dbr:Focke_Wulf_260.\\n ?aircraft dbo:manufacturer dbr:Start_+_Flug_H-101.\\n ?aircraft dbo:nationalOrigin?uri.\\n}\\n""']"
8,"
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbr: <http://dbpedia.org/resource/>

SELECT DISTINCT?show
WHERE {
 ?show dbo:producer dbr:Stephen_E._Ambrose.
 ?show dbo:writer dbr:Erik_Jendresen.
}
","{'head': {'link': [], 'vars': ['show']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
