Unnamed: 0,consult,output
0,"
SELECT DISTINCT?uri WHERE {
 ?uri <http://dbpedia.org/property/architect> <http://dbpedia.org/resource/Marine_Corps_Air_Station_Kaneohe_Bay>.
 ?uri <http://dbpedia.org/property/tenant> <http://dbpedia.org/resource/New_Sanno_Hotel>.
}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
1,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/party> <http://dbpedia.org/resource/International_Muslim_Brotherhood>.?x <http://dbpedia.org/property/sect>?uri . }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
2,"
SELECT DISTINCT?uri WHERE { 
   ?uri <http://dbpedia.org/ontology/developer>?dev.
   ?dev <http://dbpedia.org/property/nationality> ""United States"".
   ?uri <http://dbpedia.org/ontology/author>?auth.
   ?auth <http://dbpedia.org/property/nationality> ""United States"".
    FILTER (str(?uri) = ""http://dbpedia.org/resource/Google_Videos"" || str(?uri) = ""http://dbpedia.org/resource/Google_Web_Toolkit"")
}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
3,"
SELECT DISTINCT?uri WHERE {
 ?uri <http://dbpedia.org/property/developer> <http://dbpedia.org/resource/Sam_Loyd>.
 ?uri <http://dbpedia.org/property/publisher> <http://dbpedia.org/resource/Eric_Schiller>.
 ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/VideoGame>.
}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
4,"
ASK WHERE { <http://dbpedia.org/resource/Peter_Piper_Pizza> <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Pizza> }
","{'head': {'link': []}, 'boolean': True}"
5,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/associatedMusicalArtist> <http://dbpedia.org/resource/Joe_Pass>.?uri <http://dbpedia.org/ontology/musicalWork> <http://dbpedia.org/resource/Dream_Dancing> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
6,"
SELECT DISTINCT?uri WHERE {
 ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>.
 ?uri <http://dbpedia.org/property/deputy>?deputy.
  {?deputy <http://dbpedia.org/resource/Neil_Brown_(Australian_politician)>}
  UNION
  {?deputy <http://dbpedia.org/resource/Andrew_Peacock>}
}
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 7: syntax error at \'}\' before \'UNION\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nSELECT DISTINCT?uri WHERE {\\n ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>.\\n ?uri <http://dbpedia.org/property/deputy>?deputy.\\n  {?deputy <http://dbpedia.org/resource/Neil_Brown_(Australian_politician)>}\\n  UNION\\n  {?deputy <http://dbpedia.org/resource/Andrew_Peacock>}\\n}\\n""']"
7,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Focke-Wulf_260> <http://dbpedia.org/property/nationalOrigin>?uri. <http://dbpedia.org/resource/Start_+_Flug_H-101> <http://dbpedia.org/property/nationalOrigin>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
8,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/producer> <http://dbpedia.org/resource/Stephen_E._Ambrose>.?uri <http://dbpedia.org/property/writer> <http://dbpedia.org/resource/Erik_Jendresen> .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Band_of_Brothers_(miniseries)'}}]}}"
9,"
SELECT DISTINCT?uri WHERE {
  { <http://dbpedia.org/resource/Women_in_the_Garden> <http://dbpedia.org/property/artist>?uri }
  UNION
  { <http://dbpedia.org/resource/L'Enfant_à_la_Tasse> <http://dbpedia.org/property/composer>?uri }
}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Claude_Monet'}}]}}"
10,"
SELECT DISTINCT?uri WHERE { 
   ?uri <http://dbpedia.org/property/participants>?horse1.
   ?uri <http://dbpedia.org/property/participants>?horse2.
   ?horse1 <http://dbpedia.org/property/race>?race1.
   ?horse2 <http://dbpedia.org/property/race>?race2.
   ?horse1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Horse>.
   ?horse2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Horse>.
    FILTER (str(?race1) = str(?race2)).
    FILTER (str(?horse1) = ""Fergie Sutherland"" || str(?horse2) = ""Fergie Sutherland"").
    FILTER (str(?horse1) = ""War of Attributes"" || str(?horse2) = ""War of Attributes"").
}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
11,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/network> <http://dbpedia.org/resource/Prime_Time_Entertainment_Network>.?uri <http://dbpedia.org/property/artist> <http://dbpedia.org/resource/Christopher_Franke> .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Babylon_5'}}]}}"
