Unnamed: 0,model,method,consult,output
0,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
1,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
2,deepseek-coder-6.7b-instruct,None,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX schema: <http://schema.org/>

SELECT?system
WHERE {
 ?system rdf:type schema:SoftwareApplication.
 ?system dcterms:creator?developer.
 ?developer foaf:name ""Google"".
 ?system schema:developer?developer.
 ?system schema:programmingLanguage?tool.
 ?tool foaf:name ""Google Web Toolkit"".
}
","{'head': {'link': [], 'vars': ['system']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
3,deepseek-coder-6.7b-instruct,None,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
4,deepseek-coder-6.7b-instruct,None,"
PREFIX pizza: <http://www.example.com/pizza#>

SELECT?isInPizzaIndustry
WHERE {
  pizza:PeterPiper pizza:pizzaIndustry?isInPizzaIndustry
}
","{'head': {'link': [], 'vars': ['isInPizzaIndustry']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
5,deepseek-coder-6.7b-instruct,None,"
SELECT?name
WHERE {
 ?artist rdf:type <http://example.com/ontology/Artist>.
 ?artist <http://example.com/ontology/name>?name.
 ?artist <http://example.com/ontology/associatedWith> ""Joe Pass"".
 ?song rdf:type <http://example.com/ontology/Song>.
 ?song <http://example.com/ontology/name> ""Dream Dancing"".
 ?song <http://example.com/ontology/artist>?artist.
}
","{'head': {'link': [], 'vars': ['name']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
6,deepseek-coder-6.7b-instruct,None,"
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX schema: <http://schema.org/>

SELECT?officeHolder?deputy
WHERE {
 ?officeHolder a schema:OfficeHolder ;
               schema:deputy?deputy.
 ?deputy foaf:name ""Neil Brown"" ;
         foaf:name ""Andrew Peacock"".
}
","{'head': {'link': [], 'vars': ['officeHolder', 'deputy']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
7,deepseek-coder-6.7b-instruct,None,"
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>

SELECT?origin
WHERE {
 ?aircraft a foaf:Document ;
            dc:title ""Focke Wulf 260 and Start+Flug H 101"" ;
            foaf:based_near?origin.
}
","{'head': {'link': [], 'vars': ['origin']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
8,deepseek-coder-6.7b-instruct,None,"
PREFIX tvshow: <http://example.com/tvshow#>

SELECT?show
WHERE {
 ?show a tvshow:TVShow ;
        tvshow:producer ""Stephen E. Ambrose"" ;
        tvshow:writer ""Erik Jendresen"".
}
","{'head': {'link': [], 'vars': ['show']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
9,deepseek-coder-6.7b-instruct,None,"
PREFIX dcterms: <http://purl.org/dc/terms/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT?creator
WHERE {
 ?song dcterms:creator?creator.
 ?song dcterms:title ""Women in the Garden and also the L'Enfant a la tasse"".
}
","{'head': {'link': [], 'vars': ['creator']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
