Unnamed: 0,model,method,consult,output
0,CodeLlama-13b-Instruct-hf,None,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/ontology/>

SELECT?architect?hotel
WHERE {
 ?architect rdf:type dbpedia:Architect.
 ?architect dbpedia:tenant?hotel.
 ?hotel rdf:type dbpedia:Hotel.
 ?hotel dbpedia:name ""New Sanno"".
}
","{'head': {'link': [], 'vars': ['architect', 'hotel']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
1,CodeLlama-13b-Instruct-hf,None,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/ontology/>

SELECT?person?party
WHERE {
 ?person rdf:type foaf:Person.
 ?person dbpedia:memberOf?party.
 ?party rdf:type dbpedia:PoliticalParty.
 ?party dbpedia:subOrganizationOf <http://dbpedia.org/resource/International_Muslim_Brotherhood>.
}
","{'head': {'link': [], 'vars': ['person', 'party']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
2,CodeLlama-13b-Instruct-hf,None,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX google: <http://www.google.com/>

SELECT?system?developer
WHERE {
 ?system rdf:type google:System.
 ?system google:developedBy?developer.
 ?developer rdf:type google:Developer.
 ?developer google:writtenBy?developer.
  FILTER (?system = google:Videos)
}
","{'head': {'link': [], 'vars': ['system', 'developer']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
3,CodeLlama-13b-Instruct-hf,None,"
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
PREFIX dbpedia: <http://dbpedia.org/resource/>

SELECT?game
WHERE {
 ?game dbpedia-owl:starring?actor.
 ?actor dbpedia-owl:name ""Sam Loyd""^^xsd:string.
 ?actor dbpedia-owl:name ""Eric Schiller""^^xsd:string.
}
","{'head': {'link': [], 'vars': ['game']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
4,CodeLlama-13b-Instruct-hf,None,"
PREFIX pizza: <http://www.example.org/pizza#>

SELECT?pizza
WHERE {
 ?pizza a pizza:Pizza.
 ?pizza pizza:name ""Peter Piper Pizza"".
}
","{'head': {'link': [], 'vars': ['pizza']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
5,CodeLlama-13b-Instruct-hf,None,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dbpedia: <http://dbpedia.org/ontology/>

SELECT?artist
WHERE {
 ?artist rdf:type dbpedia:Artist.
 ?artist dbpedia:name ""Joe Pass"".
 ?artist dbpedia:associatedWith ""Dream Dancing"".
}
","{'head': {'link': [], 'vars': ['artist']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
6,CodeLlama-13b-Instruct-hf,None,"
PREFIX office: <http://example.org/office#>

SELECT?officeHolder
WHERE {
 ?officeHolder office:hasDeputy?deputy.
  FILTER (?deputy = office:NeilBrown ||?deputy = office:AndrewPeacock)
}
","{'head': {'link': [], 'vars': ['officeHolder']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
7,CodeLlama-13b-Instruct-hf,None,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

SELECT?origin
WHERE {
 ?aeroplane rdf:type foaf:Aeroplane.
 ?aeroplane rdfs:label ""Focke Wulf 260"".
 ?aeroplane rdfs:label ""Start+Flug H 101"".
 ?aeroplane rdfs:origin?origin.
}
","{'head': {'link': [], 'vars': ['origin']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
8,CodeLlama-13b-Instruct-hf,None,"
PREFIX : <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT?show?producer?writer
WHERE {
 ?show a :TelevisionShow.
 ?show :producer?producer.
 ?show :writtenBy?writer.
  FILTER (?producer = ""Stephen E. Ambrose"" &&?writer = ""Erik Jendresen"")
}
","{'head': {'link': [], 'vars': ['show', 'producer', 'writer']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
9,CodeLlama-13b-Instruct-hf,None,"
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dc: <http://purl.org/dc/elements/1.1/>

SELECT?creator
WHERE {
 ?work rdf:type <http://schema.org/CreativeWork>.
 ?work dc:creator?creator.
  FILTER (?work = <http://www.wikidata.org/entity/Q12345678> ||?work = <http://www.wikidata.org/entity/Q987654321>)
}
","{'head': {'link': [], 'vars': ['creator']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
